congress,chamber,rollnumber,icpsr,cast_code,prob
117,House,1,29106.0,1,100.0
117,House,1,29109.0,1,100.0
117,House,1,29312.0,1,100.0
117,House,1,29317.0,1,100.0
117,House,1,29323.0,6,100.0
117,House,1,29337.0,9,100.0
117,House,1,29339.0,1,99.4
117,House,1,29346.0,1,100.0
117,House,1,29368.0,1,100.0
117,House,1,29377.0,1,100.0
117,House,1,29378.0,1,100.0
117,House,1,29379.0,1,100.0
117,House,1,29393.0,6,100.0
117,House,1,29504.0,1,100.0
117,House,1,29550.0,6,100.0
117,House,1,29561.0,1,100.0
117,House,1,29571.0,1,100.0
117,House,1,29573.0,1,100.0
117,House,1,29588.0,1,100.0
117,House,1,29701.0,6,100.0
117,House,1,29707.0,1,100.0
117,House,1,29710.0,1,100.0
117,House,1,29717.0,1,100.0
117,House,1,29729.0,1,100.0
117,House,1,29741.0,1,100.0
117,House,1,29759.0,6,100.0
117,House,1,29760.0,6,100.0
117,House,1,29762.0,6,100.0
117,House,1,29768.0,1,99.9
117,House,1,29769.0,1,99.7
117,House,1,29776.0,1,100.0
117,House,1,29778.0,1,100.0
117,House,1,29901.0,1,100.0
117,House,1,29903.0,1,100.0
117,House,1,29908.0,1,100.0
117,House,1,29910.0,6,100.0
117,House,1,29911.0,1,100.0
117,House,1,31101.0,1,99.9
117,House,1,31102.0,6,100.0
117,House,1,31103.0,1,100.0
117,House,1,39301.0,1,100.0
117,House,1,39305.0,1,100.0
117,House,1,39307.0,1,100.0
117,House,1,91980.0,6,100.0
117,House,2,14066.0,1,
117,House,2,14854.0,1,
117,House,2,14863.0,1,
117,House,2,14873.0,1,
117,House,2,15019.0,1,
117,House,2,15029.0,1,
117,House,2,15410.0,1,
117,House,2,15433.0,1,
117,House,2,15438.0,1,
117,House,2,15446.0,1,
117,House,2,15454.0,1,
117,House,2,15616.0,1,
117,House,2,20104.0,9,
117,House,2,20107.0,1,
117,House,2,20119.0,1,
117,House,2,20122.0,1,
117,House,2,20124.0,1,
117,House,2,20136.0,1,
117,House,2,20138.0,1,
117,House,2,20145.0,1,
117,House,2,20301.0,1,
117,House,2,20305.0,1,
117,House,2,20307.0,1,
117,House,2,20310.0,9,
117,House,2,20316.0,1,
117,House,2,20321.0,1,
117,House,2,20322.0,1,
117,House,2,20329.0,9,
117,House,2,20340.0,1,
117,House,2,20342.0,1,
117,House,2,20343.0,9,
117,House,2,20344.0,1,
117,House,2,20355.0,1,
117,House,2,20356.0,1,
117,House,2,20501.0,1,
117,House,2,20504.0,1,
117,House,2,20517.0,1,
117,House,2,20518.0,1,
117,House,2,20519.0,1,
117,House,2,20521.0,1,
117,House,2,20522.0,1,
117,House,2,20527.0,1,
117,House,2,20529.0,1,
117,House,2,20530.0,1,
117,House,2,20533.0,1,
117,House,2,20535.0,1,
117,House,2,20537.0,1,
117,House,2,20538.0,1,
117,House,2,20542.0,1,
117,House,2,20702.0,1,
117,House,2,20703.0,1,
117,House,2,20704.0,1,
117,House,2,20705.0,1,
117,House,2,20706.0,1,
117,House,2,20708.0,1,
117,House,2,20709.0,1,
117,House,2,20712.0,1,
117,House,2,20723.0,9,
117,House,2,20724.0,9,
117,House,2,20725.0,1,
117,House,2,20729.0,1,
117,House,2,20733.0,1,
117,House,2,20738.0,1,
117,House,2,20748.0,1,
117,House,2,20749.0,1,
117,House,2,20750.0,1,
117,House,2,20755.0,1,
117,House,2,20756.0,9,
117,House,2,20757.0,1,
117,House,2,20758.0,1,
117,House,2,20759.0,1,
117,House,2,20762.0,1,
117,House,2,20902.0,1,
117,House,2,20903.0,1,
117,House,2,20907.0,1,
117,House,2,20909.0,9,
117,House,2,20916.0,1,
117,House,2,20920.0,1,
117,House,2,20926.0,1,
117,House,2,20927.0,1,
117,House,2,20934.0,1,
117,House,2,20941.0,1,
117,House,2,20944.0,1,
117,House,2,20946.0,1,
117,House,2,20952.0,1,
117,House,2,20954.0,1,
117,House,2,20955.0,1,
117,House,2,20958.0,1,
117,House,2,20959.0,1,
117,House,2,21101.0,1,
117,House,2,21102.0,1,
117,House,2,21103.0,1,
117,House,2,21105.0,1,
117,House,2,21106.0,1,
117,House,2,21108.0,1,
117,House,2,21110.0,1,
117,House,2,21116.0,9,
117,House,2,21118.0,9,
117,House,2,21123.0,1,
117,House,2,21128.0,1,
117,House,2,21132.0,1,
117,House,2,21137.0,9,
117,House,2,21139.0,6,
117,House,2,21140.0,1,
117,House,2,21142.0,1,
117,House,2,21148.0,1,
117,House,2,21149.0,1,
117,House,2,21150.0,1,
117,House,2,21162.0,1,
117,House,2,21163.0,9,
117,House,2,21165.0,1,
117,House,2,21167.0,1,
117,House,2,21172.0,1,
117,House,2,21174.0,1,
117,House,2,21178.0,1,
117,House,2,21179.0,1,
117,House,2,21187.0,1,
117,House,2,21188.0,1,
117,House,2,21191.0,6,
117,House,2,21193.0,1,
117,House,2,21196.0,1,
117,House,2,21198.0,1,
117,House,2,21302.0,1,
117,House,2,21303.0,9,
117,House,2,21304.0,1,
117,House,2,21306.0,9,
117,House,2,21307.0,9,
117,House,2,21308.0,1,
117,House,2,21309.0,1,
117,House,2,21311.0,9,
117,House,2,21312.0,1,
117,House,2,21313.0,1,
117,House,2,21314.0,1,
117,House,2,21315.0,9,
117,House,2,21321.0,1,
117,House,2,21326.0,1,
117,House,2,21328.0,1,
117,House,2,21329.0,1,
117,House,2,21330.0,1,
117,House,2,21333.0,1,
117,House,2,21337.0,1,
117,House,2,21339.0,9,
117,House,2,21340.0,1,
117,House,2,21342.0,9,
117,House,2,21343.0,1,
117,House,2,21344.0,1,
117,House,2,21346.0,1,
117,House,2,21351.0,1,
117,House,2,21352.0,1,
117,House,2,21353.0,9,
117,House,2,21355.0,1,
117,House,2,21356.0,1,
117,House,2,21358.0,1,
117,House,2,21359.0,1,
117,House,2,21360.0,9,
117,House,2,21362.0,1,
117,House,2,21364.0,1,
117,House,2,21365.0,9,
117,House,2,21366.0,1,
117,House,2,21367.0,9,
117,House,2,21368.0,1,
117,House,2,21370.0,1,
117,House,2,21371.0,1,
117,House,2,21372.0,1,
117,House,2,21373.0,1,
117,House,2,21375.0,1,
117,House,2,21500.0,1,
117,House,2,21502.0,1,
117,House,2,21503.0,1,
117,House,2,21504.0,9,
117,House,2,21506.0,1,
117,House,2,21507.0,1,
117,House,2,21508.0,1,
117,House,2,21510.0,1,
117,House,2,21513.0,1,
117,House,2,21514.0,1,
117,House,2,21515.0,1,
117,House,2,21516.0,1,
117,House,2,21519.0,1,
117,House,2,21523.0,1,
117,House,2,21525.0,1,
117,House,2,21526.0,1,
117,House,2,21529.0,1,
117,House,2,21530.0,1,
117,House,2,21531.0,1,
117,House,2,21536.0,1,
117,House,2,21538.0,9,
117,House,2,21539.0,9,
117,House,2,21540.0,9,
117,House,2,21541.0,1,
117,House,2,21542.0,9,
117,House,2,21544.0,1,
117,House,2,21545.0,1,
117,House,2,21548.0,1,
117,House,2,21551.0,1,
117,House,2,21554.0,1,
117,House,2,21556.0,1,
117,House,2,21557.0,1,
117,House,2,21559.0,1,
117,House,2,21561.0,1,
117,House,2,21562.0,1,
117,House,2,21563.0,9,
117,House,2,21564.0,1,
117,House,2,21565.0,1,
117,House,2,21566.0,1,
117,House,2,21700.0,9,
117,House,2,21701.0,1,
117,House,2,21702.0,1,
117,House,2,21703.0,1,
117,House,2,21704.0,1,
117,House,2,21705.0,1,
117,House,2,21706.0,1,
117,House,2,21707.0,1,
117,House,2,21708.0,1,
117,House,2,21709.0,1,
117,House,2,21710.0,1,
117,House,2,21711.0,1,
117,House,2,21712.0,1,
117,House,2,21713.0,1,
117,House,2,21714.0,9,
117,House,2,21715.0,1,
117,House,2,21717.0,1,
117,House,2,21718.0,1,
117,House,2,21719.0,1,
117,House,2,21720.0,1,
117,House,2,21722.0,1,
117,House,2,21723.0,1,
117,House,2,21724.0,1,
117,House,2,21725.0,1,
117,House,2,21726.0,1,
117,House,2,21727.0,1,
117,House,2,21728.0,1,
117,House,2,21730.0,9,
117,House,2,21731.0,1,
117,House,2,21732.0,1,
117,House,2,21735.0,1,
117,House,2,21736.0,1,
117,House,2,21738.0,1,
117,House,2,21739.0,1,
117,House,2,21740.0,1,
117,House,2,21741.0,1,
117,House,2,21744.0,1,
117,House,2,21745.0,1,
117,House,2,21746.0,9,
117,House,2,21747.0,9,
117,House,2,21750.0,1,
117,House,2,21753.0,1,
117,House,2,21754.0,1,
117,House,2,21755.0,1,
117,House,2,21756.0,1,
117,House,2,21757.0,9,
117,House,2,21758.0,1,
117,House,2,21759.0,1,
117,House,2,21760.0,1,
117,House,2,21761.0,1,
117,House,2,21762.0,1,
117,House,2,21763.0,1,
117,House,2,21900.0,1,
117,House,2,21901.0,1,
117,House,2,21902.0,1,
117,House,2,21903.0,1,
117,House,2,21905.0,1,
117,House,2,21906.0,1,
117,House,2,21908.0,1,
117,House,2,21910.0,1,
117,House,2,21911.0,1,
117,House,2,21912.0,1,
117,House,2,21914.0,1,
117,House,2,21915.0,1,
117,House,2,21916.0,1,
117,House,2,21917.0,1,
117,House,2,21919.0,1,
117,House,2,21920.0,1,
117,House,2,21921.0,1,
117,House,2,21922.0,1,
117,House,2,21923.0,1,
117,House,2,21924.0,1,
117,House,2,21925.0,9,
117,House,2,21926.0,9,
117,House,2,21927.0,1,
117,House,2,21928.0,1,
117,House,2,21929.0,1,
117,House,2,21930.0,1,
117,House,2,21931.0,1,
117,House,2,21934.0,1,
117,House,2,21935.0,1,
117,House,2,21936.0,1,
117,House,2,21937.0,1,
117,House,2,21938.0,1,
117,House,2,21939.0,1,
117,House,2,21940.0,9,
117,House,2,21941.0,1,
117,House,2,21942.0,1,
117,House,2,21944.0,9,
117,House,2,21945.0,1,
117,House,2,21946.0,1,
117,House,2,21948.0,1,
117,House,2,21949.0,1,
117,House,2,21950.0,9,
117,House,2,21951.0,1,
117,House,2,21952.0,1,
117,House,2,21953.0,1,
117,House,2,21954.0,1,
117,House,2,21955.0,9,
117,House,2,21956.0,1,
117,House,2,21959.0,1,
117,House,2,21961.0,1,
117,House,2,21962.0,1,
117,House,2,21964.0,9,
117,House,2,21965.0,9,
117,House,2,21966.0,9,
117,House,2,21968.0,9,
117,House,2,21969.0,1,
117,House,2,21970.0,1,
117,House,2,21971.0,1,
117,House,2,21972.0,1,
117,House,2,21973.0,9,
117,House,2,21974.0,1,
117,House,2,21975.0,1,
117,House,2,21977.0,1,
117,House,2,21978.0,9,
117,House,2,21979.0,9,
117,House,2,21981.0,1,
117,House,2,21983.0,1,
117,House,2,21984.0,9,
117,House,2,21985.0,1,
117,House,2,21986.0,1,
117,House,2,21987.0,1,
117,House,2,21988.0,1,
117,House,2,21989.0,1,
117,House,2,21990.0,9,
117,House,2,22100.0,1,
117,House,2,22101.0,1,
117,House,2,22102.0,1,
117,House,2,22103.0,1,
117,House,2,22104.0,1,
117,House,2,22105.0,1,
117,House,2,22106.0,1,
117,House,2,22107.0,1,
117,House,2,22108.0,1,
117,House,2,22109.0,1,
117,House,2,22110.0,1,
117,House,2,22111.0,1,
117,House,2,22112.0,1,
117,House,2,22113.0,1,
117,House,2,22114.0,1,
117,House,2,22115.0,1,
117,House,2,22116.0,1,
117,House,2,22117.0,1,
117,House,2,22118.0,1,
117,House,2,22119.0,1,
117,House,2,22120.0,1,
117,House,2,22121.0,1,
117,House,2,22122.0,1,
117,House,2,22123.0,1,
117,House,2,22124.0,1,
117,House,2,22125.0,1,
117,House,2,22126.0,1,
117,House,2,22127.0,1,
117,House,2,22128.0,1,
117,House,2,22129.0,1,
117,House,2,22130.0,1,
117,House,2,22131.0,1,
117,House,2,22132.0,1,
117,House,2,22133.0,1,
117,House,2,22134.0,1,
117,House,2,22135.0,1,
117,House,2,22136.0,1,
117,House,2,22137.0,1,
117,House,2,22138.0,1,
117,House,2,22139.0,1,
117,House,2,22140.0,1,
117,House,2,22141.0,1,
117,House,2,22142.0,1,
117,House,2,22143.0,1,
117,House,2,22144.0,1,
117,House,2,22145.0,1,
117,House,2,22146.0,1,
117,House,2,22147.0,1,
117,House,2,22148.0,1,
117,House,2,22149.0,1,
117,House,2,22150.0,9,
117,House,2,22151.0,1,
117,House,2,22152.0,1,
117,House,2,22153.0,1,
117,House,2,22154.0,1,
117,House,2,22155.0,1,
117,House,2,22156.0,1,
117,House,2,29106.0,9,
117,House,2,29109.0,1,
117,House,2,29312.0,1,
117,House,2,29317.0,1,
117,House,2,29323.0,1,
117,House,2,29337.0,9,
